countyname,state,COST ,DEMC ,DEMO ,DEMP ,HCPP ,HMO ,PACE ,PFFS ,PPO ,PSO 
AUDRAIN ,MO,0,0,0,0,3,3,0,1,0,0
AUDUBON ,IA,0,0,0,0,1,2,0,2,0,0
AUGLAIZE ,OH,0,0,0,0,1,2,0,0,0,0
AUGUSTA ,VA,0,1,0,1,2,5,0,2,0,0
AURORA ,SD,0,0,0,0,1,0,0,1,0,0
AUSTIN ,TX,1,0,0,0,2,7,0,2,0,1
AUTAUGA ,AL,0,0,0,0,2,6,0,1,1,0
AVERY ,NC,0,0,0,0,2,5,0,2,0,0
AVOYELLES ,LA,0,1,0,0,2,4,0,2,0,0
BACA ,CO,0,0,0,0,1,0,0,0,1,0
BACON ,GA,0,0,0,0,0,0,0,1,0,0
BAILEY ,TX,0,0,0,0,1,0,0,0,0,0
BAKER ,FL,0,0,0,0,1,5,0,1,2,0
BAKER ,GA,0,0,0,0,0,0,0,1,0,0
BAKER ,OR,0,0,0,1,1,8,0,1,1,0
BALDWIN ,AL,0,0,1,0,6,22,0,3,2,1
BALDWIN ,GA,0,0,0,0,0,2,0,2,1,0
BALLARD ,KY,0,0,0,0,1,2,0,0,0,0
BALTIMORE ,MD,3,1,3,2,4,28,1,1,3,0
BALTIMORE CITY ,MD,1,1,1,2,1,19,1,2,1,0
BAMBERG ,SC,0,0,0,0,3,6,0,1,0,0
BANDERA ,TX,0,0,0,0,0,3,0,0,1,0
BANKS ,GA,0,0,0,0,0,0,0,3,2,0
BANNOCK ,ID,0,0,1,0,2,10,0,2,1,0
BARAGA ,MI,0,0,0,0,0,0,0,1,0,0
BARBER ,KS,0,0,0,0,1,0,0,1,0,0
BARBOUR ,AL,0,0,0,0,1,3,0,1,0,0
BARBOUR ,WV,0,0,0,0,1,1,0,0,0,0
BARNES ,ND,2,0,0,0,0,0,0,1,0,0
BARNSTABLE ,MA,2,0,0,2,3,29,1,1,5,0
BARNWELL ,SC,0,0,0,0,1,2,0,2,0,0
BARREN ,KY,0,0,1,0,1,3,0,1,0,0
BARRON ,WI,3,0,1,0,1,4,0,2,0,0
BARROW ,GA,0,1,0,0,1,7,0,3,2,0
BARRY ,MI,0,0,0,0,1,2,0,4,0,0
BARRY ,MO,1,0,1,0,2,4,0,3,0,0
BARTHOLOMEW ,IN,2,0,0,1,1,2,0,2,0,0
BARTON ,KS,0,0,0,0,2,0,0,1,0,0
BARTON ,MO,0,0,0,0,1,2,0,1,0,0
BARTOW ,GA,0,0,1,0,1,7,0,3,1,0
BASTROP ,TX,1,1,1,0,2,9,0,2,1,1
BATES ,MO,0,0,0,0,2,3,0,0,0,0
BATH ,KY,0,0,0,0,2,1,0,3,0,0
BATH ,VA,0,0,0,0,2,1,0,0,0,0
BAXTER ,AR,1,0,0,0,6,14,0,2,0,1
BAY ,FL,0,1,0,1,3,21,0,2,1,0
BAY ,MI,1,1,1,0,0,10,0,1,0,0
BAYFIELD ,WI,2,0,0,0,0,4,0,2,1,0
BAYLOR ,TX,0,0,0,0,0,1,0,0,0,0
BEADLE ,SD,0,0,0,0,0,3,0,2,0,0
BEAR LAKE ,ID,0,0,1,0,1,0,0,1,0,0
BEAUFORT ,NC,0,0,0,0,1,4,0,2,0,0
BEAUFORT ,SC,2,0,1,0,4,24,0,3,3,0
BEAUREGARD ,LA,0,0,0,0,1,3,0,3,0,0
BEAVER ,OK,0,0,0,0,0,1,0,0,0,0
BEAVER ,PA,2,0,0,2,1,17,1,1,1,0
BEAVER ,UT,0,0,0,0,1,3,0,2,0,0
BEAVERHEAD ,MT,0,0,0,0,1,1,0,1,1,0
BECKER ,MN,3,0,3,0,0,1,0,2,0,0
BECKHAM ,OK,0,0,0,0,1,2,0,0,0,0
BEDFORD ,PA,0,0,0,1,1,6,0,1,1,0
BEDFORD ,TN,1,1,0,1,1,4,0,2,0,0
BEDFORD ,VA,0,0,0,0,4,7,0,4,0,0
BEE ,TX,0,1,0,0,0,4,0,2,0,0
BELKNAP ,NH,0,0,0,0,0,13,0,0,1,0
BELL ,KY,0,0,0,0,1,5,0,3,0,0
BELL ,TX,1,1,1,0,3,13,0,2,0,1
BELMONT ,OH,1,0,0,1,1,4,0,1,0,1
BELTRAMI ,MN,3,0,2,0,0,3,0,2,0,0
BEN HILL ,GA,0,0,0,0,0,2,0,1,0,0
BENEWAH ,ID,2,0,0,0,0,1,0,1,0,0
BENNINGTON ,VT,0,0,0,0,1,6,1,0,1,0
BENSON ,ND,1,0,0,0,0,1,0,0,0,0
BENT ,CO,1,0,1,0,2,4,0,0,0,0
BENTON ,AR,0,0,1,0,4,14,0,4,2,0
BENTON ,IA,1,0,0,0,0,1,0,4,0,0
BENTON ,IN,1,0,0,0,0,0,0,0,0,0
BENTON ,MN,3,0,3,0,0,2,0,3,0,0
BENTON ,MO,0,0,0,0,4,6,0,1,0,0
BENTON ,MS,0,0,0,0,1,1,0,2,0,0
BENTON ,OR,3,0,3,2,1,14,1,3,0,0
BENTON ,TN,0,0,1,0,1,2,0,2,0,0
BENTON ,WA,2,1,1,0,3,14,0,2,2,0
BENZIE ,MI,0,0,0,0,2,4,0,1,0,0
BERGEN ,NJ,3,1,1,3,6,44,0,2,4,1
BERKELEY ,SC,0,0,0,0,3,14,0,3,0,0
BERKELEY ,WV,1,0,0,0,4,4,0,1,3,0
BERKS ,PA,1,0,0,1,2,30,0,4,7,0
BERKSHIRE ,MA,0,0,0,1,1,13,0,1,1,0
BERNALILLO ,NM,3,1,2,1,5,35,1,3,9,0
BERRIEN ,GA,1,0,0,0,0,1,0,1,0,0
BERRIEN ,MI,0,0,0,0,5,10,0,4,1,0
BERTIE ,NC,0,0,0,0,0,5,0,3,0,0
BEXAR ,TX,5,1,3,2,6,40,1,5,4,1
BIBB ,AL,0,0,0,1,3,5,0,0,0,0
BIBB ,GA,0,0,1,1,2,10,0,1,2,0
BIENVILLE ,LA,0,1,0,0,0,4,0,1,0,0
BIG HORN ,MT,0,0,0,0,0,0,0,1,1,0
BIG HORN ,WY,0,0,0,0,0,3,0,1,0,0
BIG STONE ,MN,3,0,1,0,1,0,0,2,0,0
BINGHAM ,ID,0,0,0,0,1,2,0,2,1,0
BLACK HAWK ,IA,3,0,1,0,2,6,0,2,1,0
BLACKFORD ,IN,0,0,0,0,1,1,0,1,0,0
BLADEN ,NC,0,0,0,0,0,3,0,2,0,0
BLAINE ,ID,2,0,0,0,0,4,0,1,0,0
BLAINE ,MT,0,0,0,0,0,2,0,1,0,0
BLAINE ,NE,0,0,0,0,0,0,0,1,0,0
BLAINE ,OK,0,0,0,0,1,1,0,1,0,0
BLAIR ,PA,1,0,0,1,1,10,0,1,1,0
BLANCO ,TX,1,0,0,0,0,3,0,0,0,0
BLAND ,VA,0,0,0,0,1,0,0,1,0,0
BLECKLEY ,GA,0,0,0,0,0,0,0,1,0,0
BLEDSOE ,TN,1,0,1,0,1,3,0,2,0,0
BLOUNT ,AL,0,0,0,1,2,3,0,0,1,0
BLOUNT ,TN,1,0,0,0,4,11,0,2,0,0
BLUE EARTH ,MN,3,0,2,0,0,7,0,3,1,0
BOISE ,ID,1,0,0,0,0,3,0,1,0,0
BOLIVAR ,MS,0,0,0,0,2,1,0,0,0,0
BOLLINGER ,MO,0,0,0,0,2,2,0,1,0,0
BON HOMME ,SD,0,0,0,0,0,0,0,1,0,0
BOND ,IL,0,0,1,1,3,3,0,0,0,0
BONNER ,ID,3,0,0,0,0,11,0,2,2,0
BONNEVILLE ,ID,2,0,1,0,2,7,0,2,1,0
BOONE ,AR,0,1,0,0,3,4,0,3,0,0
BOONE ,IA,1,0,1,0,1,1,0,5,0,0
BOONE ,IL,0,0,0,1,1,4,0,3,0,0
BOONE ,IN,2,1,0,1,2,6,0,2,2,0
BOONE ,KY,1,0,1,1,2,11,0,3,2,0
BOONE ,MO,0,0,1,0,6,11,0,2,0,0
BOONE ,NE,0,0,0,0,1,0,0,2,0,0
BOONE ,WV,0,0,0,0,2,1,0,0,0,0
BOSQUE ,TX,1,0,0,0,1,3,0,1,0,0
BOSSIER ,LA,0,1,0,1,3,5,0,1,1,0
BOTETOURT ,VA,0,0,0,1,3,3,0,4,0,0
BOTTINEAU ,ND,1,0,0,0,0,1,0,0,0,0
BOULDER ,CO,5,0,1,0,4,26,1,3,3,0
BOUNDARY ,ID,1,0,0,0,1,4,0,2,0,0
BOURBON ,KS,0,0,0,0,1,1,0,0,0,0
BOURBON ,KY,1,0,0,0,1,1,0,2,0,0
BOWIE ,TX,0,0,2,0,2,6,0,1,1,0
BOX BUTTE ,NE,0,0,0,0,1,1,0,2,0,0
BOX ELDER ,UT,0,0,0,0,3,1,0,3,0,0
BOYD ,KY,0,0,0,0,3,1,0,2,0,0
BOYD ,NE,0,0,0,0,0,0,0,1,0,0
BOYLE ,KY,0,0,0,1,1,0,0,2,0,0
BRACKEN ,KY,0,0,0,0,2,2,0,1,2,0
BRADFORD ,FL,0,0,0,0,2,3,0,0,0,0
BRADFORD ,PA,0,0,0,0,2,6,0,4,0,0
BRADLEY ,AR,0,0,0,0,1,1,0,0,0,0
BRADLEY ,TN,0,0,0,0,3,8,0,2,0,1
BRANCH ,MI,0,0,0,0,2,3,0,2,0,0
BRANTLEY ,GA,0,0,0,0,2,1,0,1,0,0
BRAXTON ,WV,1,0,0,0,2,1,0,0,0,0
BRAZORIA ,TX,1,1,0,0,4,14,0,2,0,1
BRAZOS ,TX,1,1,0,0,2,7,0,2,0,1
BREATHITT ,KY,0,0,0,0,1,1,0,1,0,0
BRECKINRIDGE ,KY,0,0,0,0,0,2,0,2,0,0
BREMER ,IA,1,0,0,0,1,2,0,1,0,0
BREVARD ,FL,5,1,4,2,8,63,0,2,3,1
BREWSTER ,TX,1,0,0,0,1,1,0,0,0,0
BRISCOE ,TX,0,0,0,0,2,0,0,0,0,0
BRISTOL ,MA,0,0,1,1,4,31,0,1,3,0
BRISTOL ,RI,1,0,0,0,0,9,0,0,1,0
BRISTOL ,VA,0,0,0,0,1,3,0,2,0,0
BROADWATER ,MT,0,0,0,0,1,1,0,2,1,0
BRONX ,NY,3,1,3,6,5,40,1,2,10,2
BROOKE ,WV,1,0,0,2,2,1,0,1,1,0
BROOKINGS ,SD,0,0,0,0,0,1,0,2,0,0
BROOKS ,GA,0,0,0,0,0,2,0,1,0,0
BROOKS ,TX,0,0,0,0,0,2,0,0,0,0
BROOME ,NY,1,0,1,1,3,14,0,3,2,0
BROOMFIELD ,CO,1,0,0,0,3,8,1,1,1,0
BROWARD ,FL,12,1,4,7,7,95,1,7,14,4
BROWN ,IL,0,0,0,0,1,0,0,1,0,0
BROWN ,IN,1,0,0,1,0,3,0,2,0,0
BROWN ,KS,0,0,0,0,2,3,0,0,0,0
BROWN ,MN,2,0,0,0,0,3,0,2,0,0
BROWN ,NE,0,0,0,0,0,0,0,1,1,0
BROWN ,OH,0,0,0,1,3,5,0,1,3,0
BROWN ,SD,1,0,1,0,1,3,0,1,0,0
BROWN ,TX,1,0,0,0,3,3,0,1,0,0
BROWN ,WI,2,1,0,0,3,11,0,3,1,0
BRUNSWICK ,NC,1,0,2,1,2,13,0,4,1,0
BRUNSWICK ,VA,1,0,0,0,1,3,0,3,0,0
BRYAN ,GA,0,0,0,0,1,4,0,2,0,0
BRYAN ,OK,0,0,0,0,3,1,0,2,0,0
BUCHANAN ,IA,1,0,0,0,1,1,0,1,0,0
BUCHANAN ,MO,0,0,0,0,2,5,0,0,0,0
BUCHANAN ,VA,0,0,0,0,1,2,0,0,0,0
BUCKINGHAM ,VA,0,0,0,0,2,3,0,2,0,0
BUCKS ,PA,1,1,1,3,4,39,0,2,7,0
BUENA VISTA ,IA,1,0,0,0,1,1,0,2,0,0
BUENA VISTA CITY ,VA,0,0,0,0,1,2,0,3,0,0
BUFFALO ,NE,0,0,0,0,2,2,0,3,0,0
BUFFALO ,WI,0,0,0,0,0,2,0,3,0,0
